Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-22,31905.0,37275.0,31905.0,36975.0,1505274,53369985632.0,36646.22,-,1.0,31905.0,37275.0,31905.0,36975.0,36646.22
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-23,36755.0,37300.0,26895.0,27455.0,2132770,68892104556.0,27299.54,-,1.0,36755.0,37300.0,26895.0,27455.0,27299.54
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-24,28165.0,30500.0,25225.0,28905.0,1696551,47969030761.0,28032.25,-,1.0,28165.0,30500.0,25225.0,28905.0,28032.25
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-25,33915.0,37050.0,31605.0,35060.0,1759491,60156094836.0,35195.91,-,1.0,33915.0,37050.0,31605.0,35060.0,35195.91
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-26,33600.0,34320.0,27400.0,29095.0,2320205,69710737180.0,29248.97,-,1.0,33600.0,34320.0,27400.0,29095.0,29248.97
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-29,28540.0,29505.0,25730.0,28100.0,1222881,33548639340.0,28063.82,-,1.0,28540.0,29505.0,25730.0,28100.0,28063.82
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-30,28035.0,30780.0,26335.0,28650.0,1294290,37160145272.0,28742.02,-,1.0,28035.0,30780.0,26335.0,28650.0,28742.02
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-07-01,29045.0,30290.0,25370.0,26645.0,1202949,32829825964.0,26622.41,-,1.0,29045.0,30290.0,25370.0,26645.0,26622.41
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-07-02,22580.0,24345.0,18575.0,18575.0,2356370,51775700538.0,18657.89,-,1.0,22580.0,24345.0,18575.0,18575.0,18657.89
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-07-03,19185.0,23360.0,16315.0,22945.0,3531043,71460775526.0,22743.93,-,1.0,19185.0,23360.0,16315.0,22945.0,22743.93
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-05-27,23865.0,25465.0,21995.0,22195.0,809116,18854803406.0,22363.8,-,1.0,23865.0,25465.0,21995.0,22195.0,22363.8
0198B0.KS,KRX,Samsung Electronics,2x,KRW,KR70198B0003,1Q 삼성전자선물단일종목레버리지,2026-05-28,21980.0,22080.0,19295.0,20965.0,817328,17231363871.0,20797.07,-,1.0,21980.0,22080.0,19295.0,20965.0,20797.07
