Date,국가명,ISIN,종목명,보관잔고금액,종목구분
2026-05-13,홍콩,HK0001205258,XL2CSOPHYNIX,243514673,SK하이닉스 2x (7709)
2026-05-13,홍콩,HK0001121349,XL2CSOPSMSN,122606455,삼성 2x (7747/9747)
2026-05-14,홍콩,HK0001205258,XL2CSOPHYNIX,242343022,SK하이닉스 2x (7709)
2026-05-14,홍콩,HK0001121349,XL2CSOPSMSN,121305545,삼성 2x (7747/9747)
2026-05-15,홍콩,HK0001205258,XL2CSOPHYNIX,216635390,SK하이닉스 2x (7709)
2026-05-15,홍콩,HK0001121349,XL2CSOPSMSN,109538242,삼성 2x (7747/9747)
2026-05-18,홍콩,HK0001205258,XL2CSOPHYNIX,184576968,SK하이닉스 2x (7709)
2026-05-18,홍콩,HK0001121349,XL2CSOPSMSN,144122975,삼성 2x (7747/9747)
2026-05-19,홍콩,HK0001205258,XL2CSOPHYNIX,164141697,SK하이닉스 2x (7709)
2026-05-19,홍콩,HK0001121349,XL2CSOPSMSN,135976925,삼성 2x (7747/9747)
2026-05-20,홍콩,HK0001205258,XL2CSOPHYNIX,151860555,SK하이닉스 2x (7709)
2026-05-20,홍콩,HK0001121349,XL2CSOPSMSN,150768856,삼성 2x (7747/9747)
2026-05-21,홍콩,HK0001205258,XL2CSOPHYNIX,172467618,SK하이닉스 2x (7709)
2026-05-21,홍콩,HK0001121349,XL2CSOPSMSN,166585348,삼성 2x (7747/9747)
2026-05-22,홍콩,HK0001205258,XL2CSOPHYNIX,178692069,SK하이닉스 2x (7709)
2026-05-22,홍콩,HK0001121349,XL2CSOPSMSN,168764355,삼성 2x (7747/9747)
2026-05-25,홍콩,HK0001205258,XL2CSOPHYNIX,178692069,SK하이닉스 2x (7709)
2026-05-25,홍콩,HK0001121349,XL2CSOPSMSN,168764355,삼성 2x (7747/9747)
2026-05-26,홍콩,HK0001205258,XL2CSOPHYNIX,258737449,SK하이닉스 2x (7709)
