Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금,종목구분
2026-01-16,홍콩,HK0001121349,XL2CSOPSMSN,692415,144664,837080,547751,삼성 2x (7747/9747)
2026-01-19,홍콩,HK0001121349,XL2CSOPSMSN,573258,536819,1110078,36439,삼성 2x (7747/9747)
2026-01-19,홍콩,HK0001205258,XL2CSOPHYNIX,469324,253250,722574,216074,SK하이닉스 2x (7709)
2026-01-20,홍콩,HK0001205258,XL2CSOPHYNIX,1522939,392658,1915597,1130282,SK하이닉스 2x (7709)
2026-01-20,홍콩,HK0001121349,XL2CSOPSMSN,1013730,318783,1332514,694947,삼성 2x (7747/9747)
2026-01-21,홍콩,HK0001121349,XL2CSOPSMSN,1108849,982398,2091247,126452,삼성 2x (7747/9747)
2026-01-21,홍콩,HK0001205258,XL2CSOPHYNIX,963779,495889,1459668,467891,SK하이닉스 2x (7709)
2026-01-22,홍콩,HK0001205258,XL2CSOPHYNIX,717557,1420073,2137631,-702516,SK하이닉스 2x (7709)
2026-01-22,홍콩,HK0001121349,XL2CSOPSMSN,1430375,624399,2054774,805977,삼성 2x (7747/9747)
2026-01-23,홍콩,HK0001121349,XL2CSOPSMSN,1064395,1046612,2111007,17783,삼성 2x (7747/9747)
2026-01-23,홍콩,HK0001205258,XL2CSOPHYNIX,501252,1102137,1603389,-600885,SK하이닉스 2x (7709)
2026-01-26,홍콩,HK0001121349,XL2CSOPSMSN,1769821,1005217,2775038,764604,삼성 2x (7747/9747)
2026-01-26,홍콩,HK0001205258,XL2CSOPHYNIX,1612210,893483,2505693,718727,SK하이닉스 2x (7709)
2026-01-27,홍콩,HK0001121349,XL2CSOPSMSN,1103775,872476,1976250,231299,삼성 2x (7747/9747)
2026-01-27,홍콩,HK0001205258,XL2CSOPHYNIX,869621,681378,1550998,188243,SK하이닉스 2x (7709)
2026-01-28,홍콩,HK0001121349,XL2CSOPSMSN,1398509,1564717,2963226,-166209,삼성 2x (7747/9747)
2026-01-28,홍콩,HK0001205258,XL2CSOPHYNIX,1772106,1085492,2857598,686613,SK하이닉스 2x (7709)
2026-01-29,홍콩,HK0001205258,XL2CSOPHYNIX,1063416,736469,1799885,326947,SK하이닉스 2x (7709)
2026-01-29,홍콩,HK0001121349,XL2CSOPSMSN,958633,446364,1404998,512269,삼성 2x (7747/9747)
2026-01-30,홍콩,HK0001205258,XL2CSOPHYNIX,2531981,3848623,6380604,-1316642,SK하이닉스 2x (7709)
2026-01-30,홍콩,HK0001121349,XL2CSOPSMSN,2602148,1990059,4592207,612088,삼성 2x (7747/9747)
2026-02-02,홍콩,HK0001205258,XL2CSOPHYNIX,2433905,1205726,3639631,1228178,SK하이닉스 2x (7709)
2026-02-02,홍콩,HK0001121349,XL2CSOPSMSN,1412090,994795,2406885,417295,삼성 2x (7747/9747)
2026-02-03,홍콩,HK0001205258,XL2CSOPHYNIX,4611111,3516765,8127876,1094346,SK하이닉스 2x (7709)
2026-02-03,홍콩,HK0001121349,XL2CSOPSMSN,2195921,1707710,3903630,488211,삼성 2x (7747/9747)
2026-02-04,홍콩,HK0001205258,XL2CSOPHYNIX,3254411,4066216,7320627,-811805,SK하이닉스 2x (7709)
2026-02-04,홍콩,HK0001121349,XL2CSOPSMSN,1384151,1937422,3321572,-553271,삼성 2x (7747/9747)
2026-02-05,홍콩,HK0001121349,XL2CSOPSMSN,1865747,2900454,4766201,-1034707,삼성 2x (7747/9747)
2026-02-05,홍콩,HK0001205258,XL2CSOPHYNIX,1135342,1601214,2736556,-465872,SK하이닉스 2x (7709)
2026-02-06,홍콩,HK0001205258,XL2CSOPHYNIX,1832396,875663,2708060,956733,SK하이닉스 2x (7709)
2026-02-06,홍콩,HK0001121349,XL2CSOPSMSN,867266,815673,1682939,51593,삼성 2x (7747/9747)
2026-02-09,홍콩,HK0001205258,XL2CSOPHYNIX,2022639,1784042,3806680,238597,SK하이닉스 2x (7709)
2026-02-09,홍콩,HK0001121349,XL2CSOPSMSN,1594744,1545593,3140337,49151,삼성 2x (7747/9747)
2026-02-10,홍콩,HK0001205258,XL2CSOPHYNIX,1509713,1142629,2652342,367084,SK하이닉스 2x (7709)
2026-02-10,홍콩,HK0001121349,XL2CSOPSMSN,802009,352939,1154948,449071,삼성 2x (7747/9747)
2026-02-11,홍콩,HK0001205258,XL2CSOPHYNIX,994927,1739982,2734909,-745055,SK하이닉스 2x (7709)
2026-02-11,홍콩,HK0001121349,XL2CSOPSMSN,1059516,709214,1768730,350302,삼성 2x (7747/9747)
2026-02-12,홍콩,HK0001121349,XL2CSOPSMSN,1873142,1019054,2892196,854087,삼성 2x (7747/9747)
2026-02-12,홍콩,HK0001205258,XL2CSOPHYNIX,394799,641490,1036289,-246691,SK하이닉스 2x (7709)
2026-02-13,홍콩,HK0001205258,XL2CSOPHYNIX,2007190,1660097,3667286,347093,SK하이닉스 2x (7709)
2026-02-13,홍콩,HK0001121349,XL2CSOPSMSN,796008,656785,1452794,139223,삼성 2x (7747/9747)
2026-02-20,홍콩,HK0001205258,XL2CSOPHYNIX,621873,2436089,3057963,-1814216,SK하이닉스 2x (7709)
2026-02-20,홍콩,HK0001121349,XL2CSOPSMSN,946421,1809121,2755541,-862700,삼성 2x (7747/9747)
2026-02-23,홍콩,HK0001121349,XL2CSOPSMSN,1794049,2113532,3907580,-319483,삼성 2x (7747/9747)
2026-02-23,홍콩,HK0001205258,XL2CSOPHYNIX,3044236,758202,3802439,2286034,SK하이닉스 2x (7709)
