code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,nxt_yr,krx_yr
365330,606,606,9048716753500.0,14931875830.858086,0.0,2.5041322314049586,ST,91261049000.0,에스와이스틸텍,N,D1,622663158451.6129,3613513951067.6567
389470,559,559,8239565137000.0,14739830298.747765,0.0,2.309917355371901,ST,490389039800.0,인벤티지랩,N,D1,1641811233948.3872,3290387397943.8945
335890,445,445,6420511638000.0,14428116040.449438,0.0,1.838842975206612,?,,,N,D1,339953079258.0645,2563966693722.7725
112040,606,606,8683483250000.0,14329180280.528051,0.0,2.5041322314049586,ST,639249934890.0,위메이드,N,D1,896829675109.6775,3467661627887.789
047920,606,606,8653924317000.0,14280403163.366337,0.0,2.5041322314049586,ST,281090480920.0,HLB제약,N,D1,668965427509.6775,3455857565534.654
007390,566,566,7973998488000.0,14088336551.23675,0.0,2.338842975206612,ST,1623763411200.0,네이처셀,N,D1,4079338922361.2905,3184336029861.386
107640,495,495,6972753060500.0,14086369819.19192,0.0,2.0454545454545454,ST,285999046300.0,한중엔시에스,N,D1,2048435371754.8389,2784498746932.3433
287410,193,193,2699203775500.0,13985511790.15544,0.0,0.7975206611570248,?,,,N,D1,0.0,1077899857542.9043
122870,606,606,8365862231500.0,13805053187.29373,0.0,2.5041322314049586,ST,788762267800.0,와이지엔터테인먼트,N,D1,1844552776922.5808,3340822871325.0825
112290,592,592,8120564490500.0,13717169747.466215,0.0,2.446280991735537,ST,214950186700.0,와이씨켐,N,D2,333572745354.83875,3242865687625.4126
356860,582,582,7948363925000.0,13656982689.003435,0.0,2.4049586776859506,ST,739413776000.0,티엘비,N,D2,1846981207890.3228,3174099125165.0166
084650,606,606,8244570221000.0,13604901354.78548,0.0,2.5041322314049586,ST,56125432440.0,랩지노믹스,N,D2,0.0,3292386127858.086
347700,530,530,7153924124500.0,13497970046.226416,0.0,2.190082644628099,ST,1123819691600.0,스피어,N,D2,5893264489980.6455,2856847587671.617
056080,574,574,7682148385500.0,13383533772.648085,0.0,2.371900826446281,ST,510443738100.0,유진로봇,N,D2,2438519458277.4194,3067788629193.0693
264850,606,606,8106772210000.0,13377511897.68977,0.0,2.5041322314049586,ST,123147597780.0,이랜시스,N,D2,128105244122.58064,3237357879240.9243
125020,275,275,3662381245500.0,13317749983.636364,0.0,1.1363636363636365,ST,168360232750.0,티씨머티리얼즈,N,D2,294261631470.9678,1462535084836.6338
0013V0,126,126,1651754940500.0,13109166194.444445,0.0,0.5206611570247934,ST,52866436480.0,삼진식품,N,D2,0.0,659611708912.5413
065500,557,557,7258436817500.0,13031304878.81508,0.0,2.301652892561984,ST,37896919680.0,오리엔트정공,N,D2,0.0,2898583679595.7095
017510,605,605,7883554776500.0,13030669052.066116,0.0,2.5,ST,112363020000.0,세명전기,N,D2,0.0,3148218244080.8584
332570,606,606,7892304428000.0,13023604666.666666,0.0,2.5041322314049586,ST,285407649930.0,PS일렉트로닉스,N,D2,0.0,3151712329333.3335
475580,403,403,5236770686500.0,12994468204.71464,0.0,1.665289256198347,ST,101233007000.0,에이럭스,N,D2,241784855754.8387,2091251660285.4788
381620,413,413,5346132477500.0,12944630696.125908,0.0,1.706611570247934,ST,73985068800.0,제닉스로보틱스,N,D2,702698909000.0,2134924190684.8186
453450,496,496,6413112771500.0,12929662845.766129,0.0,2.049586776859504,ST,111833920000.0,그리드위즈,N,D2,250756075225.80646,2561012030863.0366
475960,399,399,5100368004500.0,12782877204.260653,0.0,1.6487603305785123,ST,451016333800.0,토모큐브,N,D2,1293635901019.355,2036780622259.076
389020,595,595,7599412761500.0,12772122288.235294,0.0,2.458677685950413,ST,162959935200.0,자람테크놀로지,N,D2,274276991219.35486,3034748990566.007
